IUCR,PRIMARY_DESCRIPTION,SECONDARY_DESCRIPTION
1025,ARSON,AGGRAVATED
1090,ARSON,ATTEMPT ARSON
1010,ARSON,BY EXPLOSIVE
1020,ARSON,BY FIRE
1035,ARSON,POS: CHEMICAL/DRY-ICE DEVICE
1030,ARSON,POS: EXPLOSIVE/INCENDIARY DEV
0554,ASSAULT,AGG PO HANDS NO/MIN INJURY
0555,ASSAULT,AGG PRO.EMP: HANDGUN
0558,ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON
0556,ASSAULT,AGG PRO.EMP: OTHER FIREARM
0557,ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST
0550,ASSAULT,AGGRAVATED PO: HANDGUN
0553,ASSAULT,AGGRAVATED PO: OTHER DANG WEAP
0551,ASSAULT,AGGRAVATED PO: OTHER FIREARM
0552,ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR
051A,ASSAULT,AGGRAVATED: HANDGUN
0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON
051B,ASSAULT,AGGRAVATED: OTHER FIREARM
0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR
0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY
0560,ASSAULT,SIMPLE
0461,BATTERY,AGG PO HANDS ETC SERIOUS INJ
0454,BATTERY,AGG PO HANDS NO/MIN INJURY
0462,BATTERY,AGG PRO EMP HANDS SERIOUS INJ
0480,BATTERY,AGG PRO.EMP: HANDGUN
0483,BATTERY,AGG PRO.EMP: OTHER DANG WEAPON
0481,BATTERY,AGG PRO.EMP: OTHER FIREARM
0482,BATTERY,AGG PRO.EMP:KNIFE/CUTTING INST
0440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY
0479,BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY
0499,BATTERY,AGGRAVATED DOMESTIC BATTERY
0488,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDGUN
0498,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY
0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST
0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON
0489,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER FIREARM
0485,BATTERY,AGGRAVATED OF A CHILD
0495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN
0487,BATTERY,AGGRAVATED OF A UNBORN CHILD
0450,BATTERY,AGGRAVATED PO: HANDGUN
0452,BATTERY,AGGRAVATED PO: KNIFE/CUT INSTR
0453,BATTERY,AGGRAVATED PO: OTHER DANG WEAP
0451,BATTERY,AGGRAVATED PO: OTHER FIREARM
041A,BATTERY,AGGRAVATED: HANDGUN
0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON
041B,BATTERY,AGGRAVATED: OTHER FIREARM
0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR
0486,BATTERY,DOMESTIC BATTERY SIMPLE
0475,BATTERY,OF UNBORN CHILD
0484,BATTERY,PRO EMP HANDS NO/MIN INJURY
0460,BATTERY,SIMPLE
0630,BURGLARY,ATTEMPT FORCIBLE ENTRY
0610,BURGLARY,FORCIBLE ENTRY
0650,BURGLARY,HOME INVASION
0620,BURGLARY,UNLAWFUL ENTRY
1479,CONCEALED CARRY LICENSE VIOLATION,ARMED WHILE UNDER THE INFLUENCE
1480,CONCEALED CARRY LICENSE VIOLATION,OTHER
1478,CONCEALED CARRY LICENSE VIOLATION,PROHIBITED PLACES
0261,CRIM SEXUAL ASSAULT,AGGRAVATED: HANDGUN
0263,CRIM SEXUAL ASSAULT,AGGRAVATED: KNIFE/CUT INSTR
0265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER
0264,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER DANG WEAPON
0262,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER FIREARM
0271,CRIM SEXUAL ASSAULT,ATTEMPT AGG: HANDGUN
0273,CRIM SEXUAL ASSAULT,ATTEMPT AGG: KNIFE/CUT INSTR
0275,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER
0274,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER DANG WEAPON
0272,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER FIREARM
0291,CRIM SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED
0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED
0266,CRIM SEXUAL ASSAULT,PREDATORY
2500,CRIMINAL ABORTION,CRIMINAL ABORTION
1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT
1375,CRIMINAL DAMAGE,INSTITUTIONAL VANDALISM
1265,CRIMINAL DAMAGE,LIBRARY VANDALISM
1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY
1370,CRIMINAL DAMAGE,TO FIRE FIGHT.APP.EQUIP
1310,CRIMINAL DAMAGE,TO PROPERTY
1340,CRIMINAL DAMAGE,TO STATE SUP PROP
1320,CRIMINAL DAMAGE,TO VEHICLE
1335,CRIMINAL TRESPASS,TO AIRPORT
1330,CRIMINAL TRESPASS,TO LAND
1365,CRIMINAL TRESPASS,TO RESIDENCE
1350,CRIMINAL TRESPASS,TO STATE SUP LAND
1360,CRIMINAL TRESPASS,TO VEHICLE
1241,DECEPTIVE PRACTICE,AGGRAVATED COMPUTER TAMPERING
1155,DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT
1160,DECEPTIVE PRACTICE,ALTER COINS
1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT
1110,DECEPTIVE PRACTICE,BOGUS CHECK
1242,DECEPTIVE PRACTICE,COMPUTER FRAUD
1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK
1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT
1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD
1185,DECEPTIVE PRACTICE,DECEPTIVE COLLECTION PRACTICES
1140,DECEPTIVE PRACTICE,EMBEZZLEMENT
1195,DECEPTIVE PRACTICE,FINAN EXPLOIT-ELDERLY/DISABLED
1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER
1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300
1120,DECEPTIVE PRACTICE,FORGERY
1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME
1151,DECEPTIVE PRACTICE,ILLEGAL POSSESSION CASH CARD
1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD
1170,DECEPTIVE PRACTICE,IMPERSONATION
1135,DECEPTIVE PRACTICE,INSURANCE FRAUD
1260,DECEPTIVE PRACTICE,LIBRARY THEFT
1245,DECEPTIVE PRACTICE,PAY TV SERVICE OFFENSES
1230,DECEPTIVE PRACTICE,POSS. KEYS OR DEV.TO COIN MACH
1200,DECEPTIVE PRACTICE,STOLEN PROP: BUY/RECEIVE/POS.
1206,DECEPTIVE PRACTICE,THEFT BY LESSEE MOTOR VEH
1205,DECEPTIVE PRACTICE,THEFT BY LESSEE NON-VEH
1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES
1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP
1261,DECEPTIVE PRACTICE,UNAUTHORIZED VIDEOTAPING
1255,DECEPTIVE PRACTICE,UNIDENTIFIABLE RECORDING SOUND
1240,DECEPTIVE PRACTICE,UNLAWFUL USE OF A COMPUTER
1235,DECEPTIVE PRACTICE,UNLAWFUL USE OF RECORDED SOUND
1620,GAMBLING,BOLITA OR BOLI PUL/OFFICE
1621,GAMBLING,BOLITA OR BOLI PUL/RUNNER
1623,GAMBLING,BOLITA OR BOLI PUL/STATION
1622,GAMBLING,BOLITA OR BOLI PUL/WRITER
1610,GAMBLING,BOOKMAKING/HORSES
1611,GAMBLING,BOOKMAKING/SPORTS
1670,GAMBLING,GAME/AMUSEMENT DEVICE
1651,GAMBLING,GAME/CARDS
1661,GAMBLING,GAME/DICE
1626,GAMBLING,ILLEGAL ILL LOTTERY
1627,GAMBLING,LOTTERY/OTHER
1624,GAMBLING,LOTTERY/PARI-MUTUEL
1681,GAMBLING,LOTTERY/PARLAY CARDS
1625,GAMBLING,NATIONAL LOTTERY
1680,GAMBLING,OTHER
1690,GAMBLING,POLICY/HOUSEBOOK
1694,GAMBLING,POLICY/OFFICE
1697,GAMBLING,POLICY/OTHER
1695,GAMBLING,POLICY/PRESS
1692,GAMBLING,POLICY/RUNNER
1691,GAMBLING,POLICY/STATION
1693,GAMBLING,POLICY/TURN-IN
1696,GAMBLING,POLICY/WHEEL
1640,GAMBLING,REGISTER FED GAMBLING STAMP
1633,GAMBLING,SPORTS TAMPERING
1650,GAMBLING,VIOL CHARITABLE GAME ACT
1630,GAMBLING,WIREROOM/HORSES
1632,GAMBLING,WIREROOM/NUMBERS
1631,GAMBLING,WIREROOM/SPORTS
0110,HOMICIDE,FIRST DEGREE MURDER
0141,HOMICIDE,INVOLUNTARY MANSLAUGHTER
0142,HOMICIDE,RECKLESS HOMICIDE
0130,HOMICIDE,SECOND DEGREE MURDER
1050,HUMAN TRAFFICKING,COMMERCIAL SEX ACTS
1055,HUMAN TRAFFICKING,INVOLUNTARY SERVITUDE
3751,INTERFERENCE WITH PUBLIC OFFICER,AIDING ARRESTEE ESCAPE
3910,INTERFERENCE WITH PUBLIC OFFICER,BRIBERY
3740,INTERFERENCE WITH PUBLIC OFFICER,CONCEALING/AIDING A FUGITIVE
3770,INTERFERENCE WITH PUBLIC OFFICER,CONTRABAND IN PRISON
3750,INTERFERENCE WITH PUBLIC OFFICER,ESCAPE
3800,INTERFERENCE WITH PUBLIC OFFICER,INTERFERENCE JUDICIAL PROCESS
3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION
3730,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE
3760,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING SERVICE
3920,INTERFERENCE WITH PUBLIC OFFICER,OFFICIAL MISCONDUCT
3720,INTERFERENCE WITH PUBLIC OFFICER,REFUSING TO AID AN OFFICER
3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER
3980,INTIMIDATION,COMPELLING CONFESSION
3975,INTIMIDATION,COMPELLING ORG MEMBERSHIP
3966,INTIMIDATION,EDUCATIONAL INTIMIDAITON
3970,INTIMIDATION,EXTORTION
3960,INTIMIDATION,INTIMIDATION
4220,KIDNAPPING,AGGRAVATED
1792,KIDNAPPING,CHILD ABDUCTION/STRANGER
4240,KIDNAPPING,FORCIBLE DETENTION
4210,KIDNAPPING,KIDNAPPING
4255,KIDNAPPING,UNLAWFUL INTERFERE/VISITATION
4230,KIDNAPPING,UNLAWFUL RESTRAINT
2251,LIQUOR LAW VIOLATION,EMPLOY MINOR
2230,LIQUOR LAW VIOLATION,ILLEGAL CONSUMPTION BY MINOR
2220,LIQUOR LAW VIOLATION,ILLEGAL POSSESSION BY MINOR
2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION
2240,LIQUOR LAW VIOLATION,MINOR MISREPRESENT AGE
2210,LIQUOR LAW VIOLATION,SELL/GIVE/DEL LIQUOR TO MINOR
0920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE
0925,MOTOR VEHICLE THEFT,ATT: TRUCK; BUS; MOTOR HOME
0928,MOTOR VEHICLE THEFT,ATTEMPT: CYCLE; SCOOTER; BIKE NO VIN
0927,MOTOR VEHICLE THEFT,ATTEMPT: CYCLE; SCOOTER; BIKE W-VIN
0910,MOTOR VEHICLE THEFT,AUTOMOBILE
0918,MOTOR VEHICLE THEFT,CYCLE; SCOOTER; BIKE NO VIN
0917,MOTOR VEHICLE THEFT,CYCLE; SCOOTER; BIKE W-VIN
0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE
0938,MOTOR VEHICLE THEFT,THEFT/RECOVERY: CYCLE; SCOOTER; BIKE NO VIN
0937,MOTOR VEHICLE THEFT,THEFT/RECOVERY: CYCLE; SCOOTER; BIKE W-VIN
0935,MOTOR VEHICLE THEFT,THEFT/RECOVERY: TRUCK; BUS; MOTOR HOME
0915,MOTOR VEHICLE THEFT,TRUCK; BUS; MOTOR HOME
2090,NARCOTICS,ALTER/FORGE PRESCRIPTION
2094,NARCOTICS,ATTEMPT POSSESSION CANNABIS
2095,NARCOTICS,ATTEMPT POSSESSION NARCOTICS
1860,NARCOTICS,CALCULATED CANNABIS CONSPIRACY
1850,NARCOTICS,CANNABIS PLANT
2080,NARCOTICS,CONT SUBS:FAIL TO MAINT RECORD
2050,NARCOTICS,CRIMINAL DRUG CONSPIRACY
2070,NARCOTICS,DEL CONT SUBS TO PERSON <18
1840,NARCOTICS,DELIVER CANNABIS TO PERSON <18
2060,NARCOTICS,FAIL REGISTER LIC:CONT SUBS
2120,NARCOTICS,FAILURE TO KEEP HYPO RECORDS
2091,NARCOTICS,FORFEIT PROPERTY
2093,NARCOTICS,FOUND SUSPECT NARCOTICS
1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS
1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS
2015,NARCOTICS,MANU/DELIVER: HALLUCINOGEN
2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE)
2013,NARCOTICS,MANU/DELIVER: HEROIN(BRN/TAN)
2032,NARCOTICS,MANU/DELIVER: METHAMPHETAMINES
2010,NARCOTICS,MANU/DELIVER:AMPHETAMINES
2011,NARCOTICS,MANU/DELIVER:BARBITUATES
2012,NARCOTICS,MANU/DELIVER:COCAINE
2017,NARCOTICS,MANU/DELIVER:CRACK
2019,NARCOTICS,MANU/DELIVER:HEROIN(BLACK TAR)
2030,NARCOTICS,MANU/DELIVER:LOOK-ALIKE DRUG
2016,NARCOTICS,MANU/DELIVER:PCP
2018,NARCOTICS,MANU/DELIVER:SYNTHETIC DRUGS
2033,NARCOTICS,MANU/POSS. W/INTENT TO DELIVER: SYNTHETIC MARIJUANA
2110,NARCOTICS,POS: HYPODERMIC NEEDLE
2020,NARCOTICS,POSS: AMPHETAMINES
2021,NARCOTICS,POSS: BARBITUATES
1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS
1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS
2022,NARCOTICS,POSS: COCAINE
2027,NARCOTICS,POSS: CRACK
2025,NARCOTICS,POSS: HALLUCINOGENS
2029,NARCOTICS,POSS: HEROIN(BLACK TAR)
2023,NARCOTICS,POSS: HEROIN(BRN/TAN)
2024,NARCOTICS,POSS: HEROIN(WHITE)
2040,NARCOTICS,POSS: LOOK-ALIKE DRUGS
2031,NARCOTICS,POSS: METHAMPHETAMINES
2026,NARCOTICS,POSS: PCP
2028,NARCOTICS,POSS: SYNTHETIC DRUGS
2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT
2034,NARCOTICS,POSSESSION: SYNTHETIC MARIJUANA
2160,NARCOTICS,SALE/DEL DRUG PARAPHERNALIA
2111,NARCOTICS,SALE/DEL HYPODERMIC NEEDLE
2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY
1481,NON-CRIMINAL,CONCEALED CARRY LICENSE REVOCATION
1540,OBSCENITY,OBSCENE MATTER
1535,OBSCENITY,OBSCENITY
1542,OBSCENITY,SALE OF OBSCENE MATERIALS
1541,OBSCENITY,SALE/DIST OBSCENE MAT TO MINOR
1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER
1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR
1755,OFFENSE INVOLVING CHILDREN,CHILD ABANDONMENT
1790,OFFENSE INVOLVING CHILDREN,CHILD ABDUCTION
1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE
1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY
1725,OFFENSE INVOLVING CHILDREN,CONTRIBUTE CRIM DELINQUENCY JUVENILE
1720,OFFENSE INVOLVING CHILDREN,CONTRIBUTE DELINQUENCY OF A CHILD
1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER
1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD
1791,OFFENSE INVOLVING CHILDREN,HARBOR RUNAWAY
1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE
1537,OFFENSE INVOLVING CHILDREN,POS: PORNOGRAPHIC PRINT
1775,OFFENSE INVOLVING CHILDREN,SALE OF TRAVEL TICKET TO MINOR
1715,OFFENSE INVOLVING CHILDREN,SALE TOBACCO PRODUCTS TO MINOR
1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR
1900,OTHER NARCOTIC VIOLATION,INTOXICATING COMPOUNDS
500N,OTHER OFFENSE,ABUSE/NEGLECT: CARE FACILITY
501A,OTHER OFFENSE,ANIMAL ABUSE/NEGLECT
1682,OTHER OFFENSE,ANIMAL FIGHTING
5121,OTHER OFFENSE,ARSONIST: ANNUAL REGISTRATION
5120,OTHER OFFENSE,ARSONIST: DUTY TO REGISTER
5122,OTHER OFFENSE,ARSONIST: FAIL TO REGISTER NEW ADDRESS
4860,OTHER OFFENSE,BOARD PLANE WITH WEAPON
4810,OTHER OFFENSE,COMPOUNDING A CRIME
4420,OTHER OFFENSE,CRIMINAL FORTIFICATION
4410,OTHER OFFENSE,DESTRUCTION OF DRAFT CARD
4750,OTHER OFFENSE,DISCLOSE DV VICTIM LOCATION
500E,OTHER OFFENSE,EAVESDROPPING
502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP
5008,OTHER OFFENSE,FIREARM REGISTRATION VIOLATION
5111,OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION
5110,OTHER OFFENSE,GUN OFFENDER: DUTY TO REGISTER
5112,OTHER OFFENSE,GUN OFFENDER: DUTY TO REPORT CHANGE OF INFORMATION
2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS
2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE
501H,OTHER OFFENSE,HAZARDOUS MATERIALS VIOLATION
3610,OTHER OFFENSE,INTERFERE W/ HIGHER EDUCATION
5011,OTHER OFFENSE,LICENSE VIOLATION
4800,OTHER OFFENSE,MONEY LAUNDERING
2830,OTHER OFFENSE,OBSCENE TELEPHONE CALLS
5003,OTHER OFFENSE,OTHER ARSON/EXPLOSIVE INCIDENT
5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON
5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY
5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE
5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION
4625,OTHER OFFENSE,PAROLE VIOLATION
4310,OTHER OFFENSE,POSSESSION OF BURGLARY TOOLS
4510,OTHER OFFENSE,PROBATION VIOLATION
4651,OTHER OFFENSE,SEX OFFENDER: FAIL REG NEW ADD
4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER
4652,OTHER OFFENSE,SEX OFFENDER: PROHIBITED ZONE
502T,OTHER OFFENSE,TAMPER WITH MOTOR VEHICLE
2820,OTHER OFFENSE,TELEPHONE THREAT
4740,OTHER OFFENSE,UNLAWFUL USE OF BODY ARMOR
502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE
4388,OTHER OFFENSE,VIO BAIL BOND: DOM VIOLENCE
4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION
4386,OTHER OFFENSE,VIOLATION OF CIVIL NO CONTACT ORDER
5009,OTHER OFFENSE,VIOLATION OF SMOKING BAN
5131,OTHER OFFENSE,VIOLENT OFFENDER: ANNUAL REGISTRATION
5130,OTHER OFFENSE,VIOLENT OFFENDER: DUTY TO REGISTER
5132,OTHER OFFENSE,VIOLENT OFFENDER: FAIL TO REGISTER NEW ADDRESS
4389,OTHER OFFENSE ,VIOLATION GPS MONITORING DEVICE 
1510,PROSTITUTION,CAB OPERATION
1505,PROSTITUTION,CALL OPERATION
1511,PROSTITUTION,IN TAVERN
1531,PROSTITUTION,JUVENILE PIMPING
1521,PROSTITUTION,KEEP PLACE OF JUV PROSTITUTION
1520,PROSTITUTION,KEEP PLACE OF PROSTITUTION
1549,PROSTITUTION,OTHER PROSTITUTION OFFENSE
1515,PROSTITUTION,PANDERING
1526,PROSTITUTION,PATRONIZE JUVENILE PROSTITUTE
1525,PROSTITUTION,PATRONIZING A PROSTITUTE
1530,PROSTITUTION,PIMPING
1513,PROSTITUTION,SOLICIT FOR BUSINESS
1512,PROSTITUTION,SOLICIT FOR PROSTITUTE
1507,PROSTITUTION,SOLICIT OFF PUBLIC WAY
1506,PROSTITUTION,SOLICIT ON PUBLIC WAY
1536,PUBLIC INDECENCY,LICENSED PREMISE
3200,PUBLIC PEACE VIOLATION,ARMED VIOLENCE
2851,PUBLIC PEACE VIOLATION,ARSON THREAT
2850,PUBLIC PEACE VIOLATION,BOMB THREAT
2840,PUBLIC PEACE VIOLATION,FALSE FIRE ALARM
2860,PUBLIC PEACE VIOLATION,FALSE POLICE REPORT
2895,PUBLIC PEACE VIOLATION,INTERFERE W/ EMERGENCY EQUIP
3400,PUBLIC PEACE VIOLATION,LOOTING
3100,PUBLIC PEACE VIOLATION,MOB ACTION
2890,PUBLIC PEACE VIOLATION,OTHER VIOLATION
2870,PUBLIC PEACE VIOLATION,PEEPING TOM
3300,PUBLIC PEACE VIOLATION,PUBLIC DEMONSTRATION
0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT
3000,PUBLIC PEACE VIOLATION,SELL/ADVERTISE FIREWORKS
0494,RITUALISM,AGG RIT MUT: HANDS/FIST/FEET NO/MINOR INJURY
0510,RITUALISM,AGG RIT MUT: HANDS/FIST/FEET SERIOUS INJURY
0490,RITUALISM,AGG RITUAL MUT:HANDGUN
0492,RITUALISM,AGG RITUAL MUT:KNIFE/CUTTING I
0493,RITUALISM,AGG RITUAL MUT:OTH DANG WEAPON
0491,RITUALISM,AGG RITUAL MUT:OTHER FIREARM
0330,ROBBERY,AGGRAVATED
0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING
031A,ROBBERY,ARMED: HANDGUN
0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON
031B,ROBBERY,ARMED: OTHER FIREARM
0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT
0331,ROBBERY,ATTEMPT: AGGRAVATED
033A,ROBBERY,ATTEMPT: ARMED-HANDGUN
0334,ROBBERY,ATTEMPT: ARMED-KNIFE/CUT INSTR
0337,ROBBERY,ATTEMPT: ARMED-OTHER DANG WEAP
033B,ROBBERY,ATTEMPT: ARMED-OTHER FIREARM
0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON
0320,ROBBERY,STRONGARM - NO WEAPON
0325,ROBBERY,VEHICULAR HIJACKING
1572,SEX OFFENSE,ADULTRY
1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE
1590,SEX OFFENSE,ATT AGG CRIMINAL SEXUAL ABUSE
5004,SEX OFFENSE,ATT CRIM SEXUAL ABUSE
1576,SEX OFFENSE,BIGAMY
1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE
1564,SEX OFFENSE,CRIMINAL TRANSMISSION OF HIV
1574,SEX OFFENSE,FORNICATION
1566,SEX OFFENSE,INDECENT SOLICITATION/ADULT
1565,SEX OFFENSE,INDECENT SOLICITATION/CHILD
1578,SEX OFFENSE,MARRYING A BIGAMIST
1585,SEX OFFENSE,OTHER
1570,SEX OFFENSE,PUBLIC INDECENCY
1580,SEX OFFENSE,SEX RELATION IN FAMILY
1544,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD
0581,STALKING,AGGRAVATED
0583,STALKING,CYBERSTALKING
0580,STALKING,SIMPLE
0584,STALKING,VIOLATION OF STALKING NO CONTACT ORDER
0820,THEFT,$500 AND UNDER
0842,THEFT,AGG: FINANCIAL ID THEFT
0843,THEFT,ATTEMPT FINANCIAL ID THEFT
0850,THEFT,ATTEMPT THEFT
0865,THEFT,DELIVERY CONTAINER THEFT
0841,THEFT,FINANCIAL ID THEFT: $300 AND UNDER
0840,THEFT,FINANCIAL ID THEFT: OVER $300
0890,THEFT,FROM BUILDING
0895,THEFT,FROM COIN-OP MACHINE/DEVICE
0810,THEFT,OVER $500
0870,THEFT,POCKET-PICKING
0880,THEFT,PURSE-SNATCHING
0860,THEFT,RETAIL THEFT
1450,WEAPONS VIOLATION,DEFACE IDENT MARKS OF FIREARM
1460,WEAPONS VIOLATION,POSS FIREARM/AMMO:NO FOID CARD
1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE
1440,WEAPONS VIOLATION,REGISTER OF SALES BY DEALER
1475,WEAPONS VIOLATION,SALE OF METAL PIERCING BULLETS
143C,WEAPONS VIOLATION,UNLAWFUL POSS AMMUNITION
143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN
143B,WEAPONS VIOLATION,UNLAWFUL POSS OTHER FIREARM
142A,WEAPONS VIOLATION,UNLAWFUL SALE HANDGUN
142B,WEAPONS VIOLATION,UNLAWFUL SALE OTHER FIREARM
1435,WEAPONS VIOLATION,UNLAWFUL SALE/DELIVERY OF FIREARM AT SCHOOL
141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN
141C,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON
141B,WEAPONS VIOLATION,UNLAWFUL USE OTHER FIREARM
2900,WEAPONS VIOLATION,UNLAWFUL USE/SALE AIR RIFLE
1476,WEAPONS VIOLATION,USE OF METAL PIERCING BULLETS
